                                         | local | global | comments |
staticAutoT.sqf                          |       |        |          |
unitTraits.sqf                           |       |        |          |
CSATCrate.sqf                            |       |        |          |
carry.sqf                                |       |        |          |
sellVehicle.sqf                          |       |        |          |
destroyBuilding.sqf                      |       |        |          |
dismissSquad.sqf                         |       |        |          |
playerMarkers.sqf                        |       |        |          |
crearControles.sqf                       |       |        |          |
buildHQ.sqf                              |       |        |          |
squadOptions.sqf                         |       |        |          |
spawnGroup.sqf                           |=======|========|          |
garrisonAdd.sqf                          |       |        |          |
WPCreateAltis.sqf                        |       |        |          |
addSquadVeh.sqf                          |       |        |          |
stealStatic.sqf                          |       |        |          |
moveHQObject.sqf                         |       |        |          |
commsMP.sqf                              |       |        |          |
controlHCsquad.sqf                       |       |        |          |
Init.sqf                                 |       |        |          |
vehicleMarkers.sqf                       |=======|        |          |
Init.sqf                                 |       |        |          |
Init.sqf                                 |       |        |          |
fogCheck.sqf                             |       |        |          |
autoGarrison.sqf                         |=======|========|          |
dialogHQ.sqf                             |       |        |          |
resourcesFIA.sqf                         |       |        |          |
mrkWIN.sqf                               |       |        |          |
ACEpvpReDress.sqf                        |       |        |          |
zoneCheck.sqf                            |=======|        |          |
Init.sqf                                 |       |        |          |
hideInBuilding.sqf                       |       |        |          |
prestige.sqf                             |       |        |          |
difficultyMenu.sqf                       |       |        |          |
unitGetToCover.sqf                       |       |        |          |
CIVinit.sqf                              |       |        |          |
capturar.sqf                             |       |        |          |
Init.sqf                                 |       |        |          |
cargoSeats.sqf                           |       |        |          |
findSafeRoadToUnload.sqf                 |       |        |          |
puertasLand.sqf                          |       |        |          |
minefieldAAF.sqf                         |       |        |          |
radioJam.sqf                             |       |        |          |
returnMuzzle.sqf                         |       |        |          |
Init.sqf                                 |       |        |          |
undercoverAI.sqf                         |       |        |          |
mortarPos.sqf                            |       |        |          |
garrisonReorg.sqf                        |       |        |          |
taskUpdate.sqf                           |       |        |          |
citySupportChange.sqf                    |       |        |          |
createSDKgarrisonsTemp.sqf               |       |        |          |
VEHdespawner.sqf                         |       |        |          |
airbomb.sqf                              |       |        |          |
unit_recruit.sqf                         |       |        |          |
initFuncs.sqf                            |       |        |          |
guardDog.sqf                             |       |        |          |
playerScoreAdd.sqf                       |       |        |          |
mortyAI.sqf                              |       |        |          |
castigo.sqf                              |       |        |          |
remoteBattle.sqf                         |       |        |          |
isTheSameIsland.sqf                      |       |        |          |
buy_vehicle_civ.sqf                      |       |        |          |
addBombRun.sqf                           |       |        |          |
NATOQuadbike.sqf                         |       |        |          |
cajaAAF.sqf                              |       |        |          |
cubrirConHumo.sqf                        |       |        |          |
stavrosInit.sqf                          |       |        |          |
distanceUnits.sqf                        |       |        |          |
memberAdd.sqf                            |       |        |          |
civVEHinit.sqf                           |       |        |          |
doFlank.sqf                              |       |        |          |
landThreatEval.sqf                       |       |        |          |
donateMoney.sqf                          |       |        |          |
vaciar.sqf                               |       |        |          |
findBasesForConvoy.sqf                   |       |        |          |
localizar.sqf                            |       |        |          |
malosFFAA.sqf                            |       |        |          |
FIAskillAdd.sqf                          |       |        |          |
addTimeForIdle.sqf                       |       |        |          |
skiptime.sqf                             |       |        |          |
FIAradio.sqf                             |       |        |          |
nonMemberDistance.sqf                    |       |        |          |
powerCheck.sqf                           |       |        |          |
garrisonSize.sqf                         |       |        |          |
Init.sqf                                 |       |        |          |
randomRifle.sqf                          |       |        |          |
init.sqf                                 |       |        |          |
underAttack.sqf                          |       |        |          |
isBuildingPosition.sqf                   |       |        |          |
garrisonInfo.sqf                         |       |        |          |
AILoadInfo.sqf                           |       |        |          |
modBlacklist.sqf                         |       |        |          |
useFlares.sqf                            |       |        |          |
Init.sqf                                 |       |        |          |
mortarSupport.sqf                        |       |        |          |
liberatePOW.sqf                          |       |        |          |
teclas.sqf                               |       |        |          |
patrolDestinos.sqf                       |       |        |          |
healandrepair.sqf                        |       |        |          |
VANTinfo.sqf                             |       |        |          |
assaultBuilding.sqf                      |       |        |          |
garbageCleaner.sqf                       |       |        |          |
liberaterefugee.sqf                      |       |        |          |
firstLoad.sqf                            |       |        |          |
unlockVehicle.sqf                        |=======|        |          |
smokeCoverAuto.sqf                       |       |        |          |
revealToPlayer.sqf                       |       |        |          |
isInRoof.sqf                             |       |        |          |
interrogar.sqf                           |       |        |          |
groupDespawner.sqf                       |       |        |          |
chetos.sqf                               |       |        |          |
numericRank.sqf                          |       |        |          |
hayLOS.sqf                               |       |        |          |
radioCheck.sqf                           |       |        |          |
airportCanAttack.sqf                     |       |        |          |
commResign.sqf                           |       |        |          |
Init.sqf                                 |       |        |          |
stavrosSteal.sqf                         |       |        |          |
tierCheck.sqf                            |       |        |          |
membersList.sqf                          |       |        |          |
markerAlpha.sqf                          |       |        |          |
apagon.sqf                               |       |        |          |
scheduler.sqf                            |       |        |          |
clearForest.sqf                          |       |        |          |
playerHasBeenPvPCheck.sqf                |       |        |          |
recallGroup.sqf                          |       |        |          |
isFrontline.sqf                          |       |        |          |
borrarTask.sqf                           |       |        |          |
destroyCity.sqf                          |       |        |          |
enemyList.sqf                            |       |        |          |
citiesToCivPatrol.sqf                    |       |        |          |
findNearestGoodRoad.sqf                  |       |        |          |
vehAvailable.sqf                         |       |        |          |
nodefinder.sqf                           |       |        |          |
Init.sqf                                 |       |        |          |
deleteControles.sqf                      |       |        |          |
timingCA.sqf                             |       |        |          |
Init.sqf                                 |       |        |          |
recompile.sqf                            |       |        |          |
fuegoSupresor.sqf                        |       |        |          |
Init.sqf                                 |       |        |          |
canConquer.sqf                           |       |        |          |
init.sqf                                 |       |        |          |
Init.sqf                                 |       |        |          |
onOffLamp.sqf                            |       |        |          |
autoHealFnc.sqf                          |       |        |          |
hasRadio.sqf                             |       |        |          |
vehiclePrice.sqf                         |       |        |          |
canFight.sqf                             |       |        |          |
postmortem.sqf                           |       |        |          |
reinitY.sqf                              |       |        |          |
enemigoCercano.sqf                       |       |        |          |
removeVehFromPool.sqf                    |       |        |          |
enemyNearCheck.sqf                       |       |        |          |
Init.sqf                                 |       |        |          |
missionrequestAUTO.sqf                   |       |        |          |
Init.sqf                                 |       |        |          |
Init.sqf                                 |       |        |          |
init.sqf                                 |       |        |          |
Init.sqf                                 |       |        |          |
initRevive.sqf                           |       |        |          |
Init.sqf                                 |       |        |          |
Init.sqf                                 |       |        |          |
isMember.sqf                             |       |        |          |
resourcesPlayer.sqf                      |       |        |          |
ranksMP.sqf                              |=======|========|==========|
sizeMarker.sqf                           |=======|========|==========|
isMedic.sqf                              |=======|========|==========|
reDress.sqf                              |=======|========|==========|
addHC.sqf                                |=======|========|==========|
cleanserVeh.sqf                          |=======|========|==========|
rearmCall.sqf                            |=======|========|==========|
fatalWound.sqf                           |=======|========|==========|
resourcecheckSkipTime.sqf                |=======|========|==========|
Init.sqf                                 |       |        |          |
isWindowPosition.sqf                     |=======|========|==========| 
